asset_type,field,source_table,source_column,role
barrage,dam_barrage_feature_snapshots__asset_name,dam_barrage_feature_snapshots,asset_name,FEATURE
barrage,dam_barrage_feature_snapshots__asset_type,dam_barrage_feature_snapshots,asset_type,FEATURE
barrage,dam_barrage_feature_snapshots__feature_version,dam_barrage_feature_snapshots,feature_version,FEATURE
barrage,dam_barrage_feature_snapshots__static_features,dam_barrage_feature_snapshots,static_features,FEATURE
barrage,dam_barrage_feature_snapshots__hydrology_features,dam_barrage_feature_snapshots,hydrology_features,FEATURE
barrage,dam_barrage_feature_snapshots__has_direct_hydrology,dam_barrage_feature_snapshots,has_direct_hydrology,FEATURE
barrage,dam_barrage_feature_snapshots__generated_at,dam_barrage_feature_snapshots,generated_at,FEATURE
barrage,asset_engineering_evidence_normalized__asset_code,asset_engineering_evidence_normalized,asset_code,IDENTIFIER
barrage,asset_engineering_evidence_normalized__asset_name,asset_engineering_evidence_normalized,asset_name,FEATURE
barrage,asset_engineering_evidence_normalized__asset_type,asset_engineering_evidence_normalized,asset_type,FEATURE
barrage,asset_engineering_evidence_normalized__document_id,asset_engineering_evidence_normalized,document_id,FEATURE
barrage,asset_engineering_evidence_normalized__source_id,asset_engineering_evidence_normalized,source_id,FEATURE
barrage,asset_engineering_evidence_normalized__evidence_id,asset_engineering_evidence_normalized,evidence_id,FEATURE
barrage,asset_engineering_evidence_normalized__completion_year,asset_engineering_evidence_normalized,completion_year,FEATURE
barrage,asset_engineering_evidence_normalized__commencement_year,asset_engineering_evidence_normalized,commencement_year,FEATURE
barrage,asset_engineering_evidence_normalized__dam_height_m,asset_engineering_evidence_normalized,dam_height_m,FEATURE
barrage,asset_engineering_evidence_normalized__dam_length_m,asset_engineering_evidence_normalized,dam_length_m,FEATURE
barrage,asset_engineering_evidence_normalized__dam_volume_source_value,asset_engineering_evidence_normalized,dam_volume_source_value,FEATURE
barrage,asset_engineering_evidence_normalized__gate_count,asset_engineering_evidence_normalized,gate_count,FEATURE
barrage,asset_engineering_evidence_normalized__gate_size_raw,asset_engineering_evidence_normalized,gate_size_raw,FEATURE
barrage,asset_engineering_evidence_normalized__gate_type,asset_engineering_evidence_normalized,gate_type,FEATURE
barrage,asset_engineering_evidence_normalized__design_flood_source_value,asset_engineering_evidence_normalized,design_flood_source_value,FEATURE
barrage,asset_engineering_evidence_normalized__spillway_capacity_source_value,asset_engineering_evidence_normalized,spillway_capacity_source_value,FEATURE
barrage,asset_engineering_evidence_normalized__spillway_level_m,asset_engineering_evidence_normalized,spillway_level_m,FEATURE
