page,line_number,chainages,bridge_types,conditions,defects,text
16,42,136.225; 137.200; 975; 155.200; 155.950; 750; 162.250; 163.100; 850; 162.850; 163.000; 450,,,,RHS of km 136.225 - km 137.200 (975 m) | RHS of km 155.200 - km 155.950 (750 m) | LHS of krn 162.250 - km 163.100 (850 m) | RHS of km 162.850 - km 163.000 (450 m) | Unit
16,43,155.200; 155.950; 750; 162.250; 163.100; 850; 162.850; 163.000; 450,,,,RHS of km 155.200 - km 155.950 (750 m) | LHS of krn 162.250 - km 163.100 (850 m) | RHS of km 162.850 - km 163.000 (450 m) | Unit | Km
17,1,2.3; 1; 2,,,,2.3 Pavements | 2.3.1 Flexible Pavement | A number of different pavement design methods were analysed as indicated in Table B-2
17,2,2.3; 1; 2,,,,2.3 Pavements | 2.3.1 Flexible Pavement | A number of different pavement design methods were analysed as indicated in Table B-2 | below :
17,6,2; 2.3; 20; 230; 220; 110.0; 134.4; 210; 200,,,,below : | Table B-2 Pavement Design Methods | 2.3.2 The recommended design is suggested based on the above methods and for a design life of 20 | years but from practical consideration it appears appropriate to reduce the thickness from 230 | mm to 220 mm for section km 110.0 to km 134.4 (existing) and from 210 mm to 200 mm for
17,8,2.3; 2; 20; 230; 220; 110.0; 134.4; 210; 200; 52.8; 66.1; 18,,,,2.3.2 The recommended design is suggested based on the above methods and for a design life of 20 | years but from practical consideration it appears appropriate to reduce the thickness from 230 | mm to 220 mm for section km 110.0 to km 134.4 (existing) and from 210 mm to 200 mm for | section km 52.8 to km 66.1 (existing) thus reducing the design life slightly to 18 years. For | other sections the design life is of 20 years.
17,9,230; 220; 110.0; 134.4; 210; 200; 52.8; 66.1; 18; 20,,,,years but from practical consideration it appears appropriate to reduce the thickness from 230 | mm to 220 mm for section km 110.0 to km 134.4 (existing) and from 210 mm to 200 mm for | section km 52.8 to km 66.1 (existing) thus reducing the design life slightly to 18 years. For | other sections the design life is of 20 years. | Pavement Design
17,22,2.3; 3; 81; 833,,,,"rehabilitation | New rigid pavements | 2.3.3 Overlay Design | Design Method | IRC:81-1997, TRRL 833,"
18,9,52.8; 66.1; 120.0,,,,From | km | 52.8 | 66.1 | 120.0
18,10,52.8; 66.1; 120.0; 134.4,,,,km | 52.8 | 66.1 | 120.0 | 134.4
18,11,52.8; 66.1; 120.0; 134.4,,,,52.8 | 66.1 | 120.0 | 134.4 | The methodology adopted for the pavement design can be obtained from the PPR report
18,12,66.1; 120.0; 134.4,,,,66.1 | 120.0 | 134.4 | The methodology adopted for the pavement design can be obtained from the PPR report | submitted by the Consultants (SWK).
18,15,2.3; 4,,,,The methodology adopted for the pavement design can be obtained from the PPR report | submitted by the Consultants (SWK). | 2.3.4 Rigid Pavement Design | To | km
18,18,66.1; 110.0; 134.4,,,,To | km | 66.1 | 110.0 | 134.4
18,19,66.1; 110.0; 134.4; 163.6,,,,km | 66.1 | 110.0 | 134.4 | 163.6
18,20,66.1; 110.0; 134.4; 163.6,,,,66.1 | 110.0 | 134.4 | 163.6 | The design for rigid pavement was based on various methods and the recommended design to
18,21,110.0; 134.4; 163.6; 5,,,,"110.0 | 134.4 | 163.6 | The design for rigid pavement was based on various methods and the recommended design to | be adopted at the Toll areas, Check post and the Truck lay bys are as indicated in Table B-5."
18,27,13.3; 37.8; 14.4,,,,Length | km | 13.3 | 37.8 | 14.4
18,28,13.3; 37.8; 14.4; 29.2,,,,km | 13.3 | 37.8 | 14.4 | 29.2
18,29,13.3; 37.8; 14.4; 29.2,,,,13.3 | 37.8 | 14.4 | 29.2 | Required overlay
18,30,37.8; 14.4; 29.2,,,,37.8 | 14.4 | 29.2 | Required overlay | mm
18,37,160; 170; 2.3; 5,,,,160 | 170 | 2.3.5 Joints | Designation of Pavement Layer | Dowelled PCC
18,43,6; 2.4; 1,,,,"Subgrade (CBR > 6%) | Contraction joints with dowel bars shall be provided. | 2.4 Geometric Improvements | Check Post, Toll Area & Truck Layby | 2.4.1 Complete geometric improvement must be carried out and the horizontal and vertical"
18,45,2.4; 1; 52.8; 110,,,,"2.4 Geometric Improvements | Check Post, Toll Area & Truck Layby | 2.4.1 Complete geometric improvement must be carried out and the horizontal and vertical | alignments shall conform to IRC and MOST specifications and requirements. | Km 52.8 - 110"
18,47,2.4; 1; 52.8; 110; 270; 100,,,,2.4.1 Complete geometric improvement must be carried out and the horizontal and vertical | alignments shall conform to IRC and MOST specifications and requirements. | Km 52.8 - 110 | 270 mm | 100 mm
18,51,100; 500; 2.4; 2,,,,"100 mm | 500 mm | 2.4.2 Trees with large girth and of high social significance, which are being affected due to the | improvement of road, should be considered for transplantation and transplantation will be the | responsibility of NHAI."
18,54,110; 163.6; 280; 100,,,,"improvement of road, should be considered for transplantation and transplantation will be the | responsibility of NHAI. | Km 110 - 163.6 | 280 mm | 100 mm"
